doc_id,company,sector,country,year,report_type,label,primary_sin,secondary_sin,enforcement,source_type,excerpt_summary
ESG-001,Delta,Aviation,USA,2023,ESG Report,confirmed,sin_hidden_tradeoff,ext_aspirational,"Delta faced a class action lawsuit challenging this claim, revealing that while they pledged billions for carbon offsett",real,"""Delta is the world's first carbon-neutral airline."""
ESG-002,P&G,Consumer Goods,USA,2018,ESG Report,confirmed,sin_fibbing,sin_hidden_tradeoff,"What is more, parent company P&G has consistently been named one of the top ten plastic polluters in Break Free From Pla",real,"""THE WORLD'S FIRST RECYCLABLE SHAMPOO BOTTLE MADE FROM BEACH PLASTIC"""
ESG-003,reynoldsconsumerproducts,Other,Unknown,2021,ESG Report,confirmed,sin_vagueness,,A class-action lawsuit revealed that the bags were not recyclable themselves and often contaminated the recycling stream,real,Promoted Hefty Recycling Bags as capable of handling any recyclable item.
ESG-004,Petronas,Other,Unknown,2023,ESG Report,confirmed,sin_hidden_tradeoff,sin_fibbing,The ASA criticized the ad for creating a misleading impression of Petronas's environmental contributions while their pri,real,"TV ad for Petronas in which it claimed to be a ""progressive energy and solutions partner, enriching lives for a sustainable future"""
ESG-005,ArlaFoods,Other,Unknown,2016,ESG Report,confirmed,sin_fibbing,,The ASA considered that consumers would interpret the claim “Good for the land … helping to support a more sustainable f,real,A local press ad for Arla organic farm milk seen on 30 November 2016 included text which stated “Good for the land” and smaller text underneath stating “helping support a more sustainable future.”
ESG-006,pepsi,Other,Unknown,2022,ESG Report,confirmed,sin_fibbing,,The ASA considered consumers would understand the claim “100% RECYCLED*” alongside images of the bottle with the label a,real,"A poster for Lipton Ice Tea seen on a bus shelter on 13 August 2021, featured headline text which stated “DELICIOUSLY REFRESHING, 100% RECYCLED*”. The asterisk linked to small text at the bottom of the poster that stated “Bottle made from recycled plastic, excludes cap and label”. The ad included pa"
ESG-007,Ethiad,Aviation,UAE,2023,ESG Report,suspected,sin_vagueness,,,real,"we’re taking a louder, bolder approach to sustainable aviation” in the body of the text and “… we’re cutting back on single-use plastics and are flying the most efficient planes. Flights with a smaller footprint … Environmental airline of the year"
ESG-008,Adidas,Consumer Goods,Germany,2021,ESG Report,suspected,sin_fibbing,,,real,"Stan Smith Forever. 100% iconic, 50% recycled"
ESG-009,jbs,Other,Unknown,2021,ESG Report,suspected,sin_fibbing,ext_aspirational,,real,"JBS claimed in a 2021 Earth Day ad: “Bacon, chicken wings and steak with net zero Emissions. It’s Possible.”"
ESG-010,uniqlo,Other,Unknown,2023,ESG Report,suspected,sin_hidden_tradeoff,,,real,"A NEW LIFE FOR UNIQLO CLOTHING. “RE.UNIQLO” is a framework that helps maximize the utility of the clothing we make, contributing to a circular society. “REDUCE” used clothing disposal by extending the lifespan of each garment. “REUSE” clothing with new purposes. “RECYCLE” clothing into new products "
