doc_id,company,sector,true_label,condition,detected_label,confidence,time_seconds,reasoning,vagueness,selectivity,misleading,irrelevance,overall_risk
ESG-001,Delta,Aviation,confirmed,ai_assisted,suspected,0.75,2.98,"The claim is under scrutiny due to a class action lawsuit, indicating potential issues with the validity of their carbon offset pledges.",3,4,3,2,4
ESG-001,Delta,Aviation,confirmed,manual,clean,0.85,2.39,The claim is specific and aligns with industry standards for sustainability without misleading information.,1,1,1,0,1
ESG-002,P&G,Consumer Goods,confirmed,ai_assisted,confirmed,0.85,3.7,"The claim about P&G being a top plastic polluter contradicts their environmental claims, indicating a pattern of misleading communication.",3,4,5,2,5
ESG-002,P&G,Consumer Goods,confirmed,manual,suspected,0.65,2.45,"The claim lacks specific details and metrics to substantiate the environmental benefits, raising concerns about its validity.",4,2,3,1,4
ESG-003,reynoldsconsumerproducts,Other,confirmed,ai_assisted,confirmed,0.95,2.26,"The claim about recyclability contradicts the findings of the class-action lawsuit, indicating misleading information.",3,4,5,2,5
ESG-003,reynoldsconsumerproducts,Other,confirmed,manual,clean,0.85,2.23,The claim presents clear and specific sustainability initiatives without vague language or selective facts.,1,1,1,0,1
ESG-004,Petronas,Other,confirmed,ai_assisted,confirmed,0.95,2.5,"The ASA's criticism indicates that the claim misrepresents Petronas's actual environmental contributions, aligning with patterns of misleading advertising found in similar cases.",3,4,5,2,5
ESG-004,Petronas,Other,confirmed,manual,clean,0.85,2.77,The claim is straightforward and does not exhibit signs of vagueness or misleading information based on the provided text.,1,1,1,0,1
ESG-005,ArlaFoods,Other,confirmed,ai_assisted,suspected,0.75,2.59,"The claim lacks specificity and could mislead consumers about the actual sustainability practices of ArlaFoods, similar to the vague claims made by Oatly and Ryanair.",4,3,4,1,4
ESG-005,ArlaFoods,Other,confirmed,manual,clean,0.85,2.54,The claim appears to be straightforward and does not exhibit significant signs of greenwashing based on the provided text.,1,1,1,0,1
ESG-006,pepsi,Other,confirmed,ai_assisted,suspected,0.75,2.93,"The claim '100% RECYCLED*' lacks clarity on the context and specifics of what is recycled, similar to cases where vague claims mislead consumers.",4,2,3,1,4
